"FILE_NAME","Room","Capacity","UUID","Professor","Class","Title","Type","Time","Length"
"FALL_2000","EMCB 110",0,"U0028138","LINDSTROM, G. E.","CP SC 5530-001","Database Systems","LECTURE","M1045|W1045",80
"FALL_2000","EMCB 110",0,"U0029088","HANSEN, C. D.","CP SC 5600-001","Computer Graphics I","LECTURE","M0940|W0940|F0940",50
"FALL_2000","EMCB 103",0,"U0031097","SMITH, K. F.","CP SC 5710-001","Adv IC Design I","LECTURE","M1225|W1225",80
"FALL_2000","MEB 3225",30,"U0030884","MYERS, C. J.","CP SC 5740-001","CAD of Digital Circuits","LECTURE","M1100|W1100",115
"FALL_2000","EMCB 105",0,"U0031683","BRUNVAND, E. L.","CP SC 5810-001","Adv Cptr Architecture","LECTURE","M1540|W1540",80
"FALL_2000","MEB 3110",40,"U0028293","DRAKE, S. H.","CP SC 5963-001","Advanced Manufacturing","SPECIAL TOPICS","T1800",150
"FALL_2000","EMCB 120",0,"U0237293","WHITAKER, R. T.","CP SC 5964-001","Image Processing","LECTURE","M1540|W1540",80
"FALL_2000","TBD",0,"U0000000","STAFF","CP SC 5968-001","Special Topics","LECTURE","M0910|W0910",80
"FALL_2000","MEB 3110",40,"U0056844","BUNKER, A.","CP SC 6100-001","Foundations Of CS","LECTURE","M1045|W1045",80
"FALL_2000","EMCB 110",0,"U0028245","GOPALAKRISHNAN, G.","CP SC 6110-001","Formal Mthds Sys Design","LECTURE","M1400|W1400",80
"FALL_2000","MEB 2325",49,"U0030676","JOHNSON, C. R.","CP SC 6210-001","Adv Sci Computing I","LECTURE","T1400|H1400",80
"FALL_2000","TBD",0,"U0035173","THOMPSON, W. B.","CP SC 6300-001","Artificial Intelligence","LECTURE","M1225|W1225",80
"FALL_2000","EMCB 105",0,"U0029780","HOLLERBACH, J. M.","CP SC 6310-001","Robotics","LECTURE","M1400|W1400",80
"FALL_2000","EMCB 103",0,"U0029067","CARTER, J. B.","CP SC 6480-002","Networks","LECTURE","T1400|H1400",80
"FALL_2000","EMCB 110",0,"U0028138","LINDSTROM, G. E.","CP SC 6530-001","Database Systems","LECTURE","M1045|W1045",80
"FALL_2000","EMCB 110",0,"U0029088","HANSEN, C. D.","CP SC 6600-001","Computer Graphics I","LECTURE","M0940|W0940|F0940",50
"FALL_2000","TBD",0,"U0028572","COHEN, E.","CP SC 6670-001","Cptr-Aided Geom Des I","LECTURE","M1045|W1045",80
"FALL_2000","EMCB 103",0,"U0031097","SMITH, K. F.","CP SC 6710-001","Adv IC Design I","LECTURE","M1225|W1225",80
"FALL_2000","MEB 3225",30,"U0030884","MYERS, C. J.","CP SC 6740-001","CAD of Digital Circuits","LECTURE","M1100|W1100",115
"FALL_2000","EMCB 105",0,"U0031683","BRUNVAND, E. L.","CP SC 6810-001","Adv Cptr Architecture","LECTURE","M1540|W1540",80
"FALL_2000","EMCB 104",0,"U0030110","HENDERSON, T. C.","CP SC 6930-001","Seminar","SEMINAR","T1540|H1540",80
"FALL_2000","MEB 3151",1,"U0028138","LINDSTROM, G. E.","CP SC 6931-001","Seminar","SEMINAR","F1045",80
"FALL_2000","MEB 3345",1,"U0029088","HANSEN, C. D.","CP SC 6932-001","Seminar","SEMINAR","F1400",80
